Date,xBTCx,diff1,BTC_diff,Vol_diff,ETH_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,NAS_diff,NAS_vol_diff,RSI_EMA,RSI_EMA_ETH,RSI_EMA_NAS,EMA3x,EMA7x,EMA15x,EMA30x,EMA3x_ETH,EMA7x_ETH,EMA15x_ETH,EMA30x_ETH,EMA3x_NAS,EMA7x_NAS,EMA15x_NAS,EMA30x_NAS,WalletHitsChg,macd_Signal,macd_Signal_ETH,macd_Signal_NAS
2019-09-06,163.95221999999922,-18.960070000000997,-222.23071999999956,4985335275,-4.260951999999975,1208135362,5508162344,26989228,-13.760253999999804,-219920000,53.33547934137294,32.619625024790494,67.83970687997342,-82.14657634723153,8.396166649536099,12.13751709143071,0.49141527171013877,-2.7408686444601926,-1.562913230823682,-1.3197115598262883,-1.3414942446345322,35.62276003923125,30.792219382983603,19.745434138295423,9.896642060092745,69.4915254237288,HOLD,HOLD,HOLD
2019-09-07,-75.97879999999896,-222.23071999999956,163.95221999999922,-4229208307,8.3064416,-6080536,-4106057514,10192564,0,0,58.5475904062092,49.554331457659785,67.83970687997342,40.90282182638293,47.28517998715142,31.114354955001545,11.037273641279171,2.782786477769889,0.9044254768822668,-0.11644241484799522,-0.7190467707871449,17.81138001961608,23.094164537236793,17.277254871008154,9.25814902395723,-23,HOLD,HOLD,HOLD
2019-09-08,-106.30182000000059,163.95221999999922,-75.97879999999896,-1636798983,3.0929076999999836,-318854076,-1258325764,15785062,0,0,55.247953997539206,54.47060438396633,67.83970687997342,-17.537989086806192,16.469184990364738,17.727710585626482,5.423333406355596,2.9378470888849506,1.451546032661696,0.28472634950799147,-0.4731142242847568,8.905690009807586,17.320623402927595,15.117598012132476,8.660849086928465,-22.0779220779221,HOLD,HOLD,HOLD
2019-09-09,-218.99836999999934,-75.97879999999896,-106.30182000000059,3925375875,-0.2060566000000108,760261719,3996202279,-6239699,-15.629883000000518,295860000,50.640595148821596,54.065562156957014,64.30903931543986,-61.91990454340339,-14.223566257227503,2.2240192624230986,-1.7847410069571197,1.36589524444247,1.037145374496248,0.22337848081946277,-0.4558847001373465,-3.362096495096921,9.082996802196249,11.274162885615624,7.093705081319968,-6.66666666666665,HOLD,HOLD,HOLD
2019-09-10,62.39609999999993,-106.30182000000059,-218.99836999999934,-2689133729,-1.3622956999999758,-941462213,-3239982927,1060804,-3.2797849999997197,190620000,42.26259942913927,51.163345655234124,63.508755520838385,-140.45913727170228,-65.4172671929191,-25.428779395380843,-15.79852352263697,0.0017997722212328426,0.43728510587217784,0.02516920821705071,-0.5143628291607456,-3.3209407475478656,5.992301351648166,9.454919399913706,6.424447656718257,10.7142857142857,HOLD,HOLD,HOLD
2019-09-11,231.75490999999965,-218.99836999999934,62.39609999999993,521253787,-1.0616792000000146,865662263,1360095672,10633414,85.52001999999993,-52420000,45.24085824270982,48.80740352517885,73.44943537433511,-39.03151863585117,-33.463925394689795,-14.450669470958019,-10.753709101820277,-0.5299397138893767,0.06254402940416526,-0.11068684281008245,-0.5496735627632745,41.09953962622603,25.87423101373497,18.963056974925166,11.527387807897867,-9.67741935483871,HOLD,HOLD,HOLD
2019-09-12,-49.57951999999932,62.39609999999993,231.75490999999965,-104499501,2.2905990000000145,-1318533558,-1975501813,3289502,24.789550999999847,-151180000,55.15469186256418,54.07223700879379,75.66651129317077,96.36169568207333,32.8407834539812,16.325027962911918,4.8920082595868735,0.8803296430552905,0.6195577720530991,0.189473887541169,-0.3664301716172531,32.94454531311294,25.603061010301644,19.691368728059388,12.383011239646294,37.5,HOLD,HOLD,HOLD
2019-09-13,-2.498120000000199,231.75490999999965,-49.57951999999932,-1213699250,0.09363179999999716,116435760,-405892951,-3857043,-17.759766000000127,-182490000,52.79529241432053,54.29394097928849,70.78068470646733,23.391087841038825,12.235707590487436,8.086959467547786,1.3777161138077645,0.48698072152765803,0.48807627903983075,0.1774936265985616,-0.33674875409357696,7.592389656556406,14.762354257726656,15.00997688705138,10.438315933863123,-37.6623376623377,HOLD,HOLD,HOLD
2019-09-14,-10.336250000000291,-49.57951999999932,-2.498120000000199,-641151551,6.995785100000006,545645274,163031433,16755030,0,0,52.66431562475527,67.7253312037176,70.78068470646731,10.446483920517494,8.552250692864618,6.76382453410406,1.1276621709803294,3.741382910763832,2.115003484279896,1.0297800607737315,0.13631794617054993,3.796194828278203,11.071765693294765,13.133729776170185,9.764876196194564,16.6666666666667,HOLD,HOLD,HOLD
2019-09-15,-70.91935000000012,-2.498120000000199,-10.336250000000291,-1425279557,1.6836213999999927,-277811731,-1743790330,9357872,0,0,52.04786306531667,70.16032139377667,70.78068470646731,0.055116960258601466,3.8301255196493003,4.626315217341471,0.3880549341429287,2.7125021553819124,2.00715796320992,1.1115102281769964,0.23614397544986332,1.8980974141395563,8.303824269971301,11.492013554148798,9.134884183536997,-28.5714285714286,HOLD,HOLD,HOLD
2019-09-16,-35.52140999999938,-10.336250000000291,-70.91935000000012,3116734212,7.324047500000006,2019154708,3477780497,-8856656,-23.169921999999133,-107550000,47.63371108756533,78.35658380393245,62.67053629554238,-35.43211651987076,-14.857243360263965,-4.816892934824864,-4.212422803542722,5.018274827690959,3.3363803474074416,1.8880773871548797,0.6934280738079224,-10.635912292929788,0.435387702477783,7.159271609880307,7.050703139437246,47.5,HOLD,HOLD,HOLD
2019-09-17,-43.023740000000544,-70.91935000000012,-35.52140999999938,144435584,11.4955712,1990561324,1583063936,13390466,32.4799809999995,-18880000,45.408091259895954,85.54648033912454,68.5071971401596,-35.47676325993416,-20.023285020197363,-8.654957567972815,-6.232357461378342,8.256923013845466,5.37617806055556,3.089014113760527,1.390340533562238,10.9220343535344,8.446536026858666,10.324360283645547,8.691301711087362,13.5593220338983,HOLD,HOLD,HOLD
2019-09-18,68.16655999999966,-35.52140999999938,-43.023740000000544,864665517,2.784286299999991,-1037956255,968542311,13795,-8.629882999999609,184540000,42.624763106706126,86.77433144633757,65.37353806769393,-39.25025162996644,-25.77339876514816,-12.951055371975599,-8.605995044516021,5.520604656922728,4.728205120416646,3.0509231370404564,1.480272518493706,1.1460756767673956,4.177431270143643,7.9550798731897885,7.573805923274449,4.4776119402985,HOLD,HOLD,HOLD
2019-09-19,-84.77365999999893,-43.023740000000544,68.16655999999966,3768422367,9.887823999999995,1425436356,4507111047,-7806047,5.489745999999286,-242180000,48.40624808237592,90.18941735487317,66.49834267863471,14.45815418501661,-2.2884090738607483,-2.811353450479146,-3.6529269771290274,7.704214328461376,6.018109840312519,3.9055357449104235,2.0226951947199154,3.3179108383837956,4.505509952608918,7.646913139041317,7.439350444354204,25.7142857142857,HOLD,HOLD,HOLD
2019-09-20,-161.9244000000017,68.16655999999966,-84.77365999999893,-5203501608,-3.2308036999999956,-2592096640,-6838879910,-8370108,-65.20996099999957,1566680000,42.291169194396375,82.18828142656542,46.01248162138782,-35.15775290749298,-22.909721805395748,-13.056641769167982,-8.886522656022862,2.236705314230676,3.705881455234362,3.0134933142965963,1.6837597821573524,-30.946025080807885,-12.923357785543885,-1.4601961283387936,2.75229809310531,-26.1363636363636,SELL,HOLD,SELL
2019-09-21,50.675200000001496,-84.77365999999893,-161.9244000000017,-1308922833,-2.533846000000011,-284664495,-1794192051,5761730,0,0,33.08081864756982,76.08045456869552,46.01248162138783,-98.54107645374643,-57.663391354046325,-31.66511154802356,-18.759934097570294,-0.14857034288465343,2.1459495914257616,2.3200759000095275,1.4116561833085086,-15.473012540403943,-9.692518339157687,-1.2776716122971266,2.5747304741953485,15.3846153846154,SELL,HOLD,SELL
2019-09-22,-341.068346,-161.9244000000017,50.675200000001496,-225615108,-3.9708227999999792,69544798,308423253,1152799,0,0,37.959816460976704,67.06804970999578,46.01248162138781,-23.932938226871556,-30.57874351553619,-21.37257260451952,-14.280248026758272,-2.0596965714423163,0.6167564935693406,1.5337135625083533,1.0643994747079546,-7.736506270202881,-7.269388754368265,-1.1179626607590762,2.4086188306982876,-10.6666666666667,HOLD,HOLD,HOLD
2019-09-23,-1108.757337000001,50.675200000001496,-341.068346,1945273710,-9.624073700000025,-318181440,2119963579,-354514,-5.209961000000476,-1579220000,24.23680909246596,50.37865740032494,44.33612882341873,-182.5006421134367,-108.20114413665215,-61.334544278955946,-35.36335112180677,-5.841885135721185,-1.9434510548229866,0.13899015469479536,0.37482056021067933,-6.473233635100769,-6.754531815776318,-1.629462453164706,1.9170975512988662,-13.4328358208955,HOLD,HOLD,HOLD
2019-09-24,-133.57345499999974,-341.068346,-1108.757337000001,9857961281,-33.810576499999996,4263066097,12173924782,18938904,-118.83007799999996,522440000,10.28715451038131,25.080103038479564,22.634291900046083,-645.6289895567188,-358.3401923524889,-192.26239336908657,-104.61457601717484,-19.826230817860562,-9.910232416117253,-4.10470567714205,-1.8306889275448839,-62.65165581755082,-34.77341836183223,-16.279539396518885,-5.873042806849298,-12.0689655172414,HOLD,SELL,HOLD
2019-09-25,-368.025404,-1108.757337000001,-133.57345499999974,-3258158336,2.7819589000000065,-1991107215,-3924073567,-1679739,83.75,-287330000,9.52509500017667,28.48940559373089,44.66197140628278,-389.6012222783593,-302.1485080143666,-184.9262760729489,-106.48289079026108,-8.522135958930278,-6.737184587087938,-3.2438726049992965,-1.5330987451226292,10.549172091224136,-5.1425637713746255,-3.775846971953797,-0.09091101285866898,60.7843137254902,HOLD,SELL,HOLD
