Date,High,Low,Open,Close,BTC_diff,Mcap_diff,Vol_diff,xBTCx,diff1,ETH,ETH_diff,Eth_Mcap_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,SP,SP_diff,SP_vol_diff,DJI,DJI_diff,DJI_vol_diff,NAS,NAS_diff,NAS_vol_diff,Gold,Gold_diff,Gold_vol_diff,TRE,TRE_diff
2016-03-24,418.6799927,415.4859924,418.4240112,416.3940125,-1.6469726000000264,-23750873,6902504,0.782989500000042,-0.048004199999979846,11.23499966,-1.1817007000000004,-92268564.5,6728600,25244.203120000006,-39.1929999999702,2035.94,-0.7699999999999818,-231790000,17515.73,13.139999999999418,-1400,4773.5,4.640137000000323,-141640000,1221.4,-2.2999999999999545,-15,1.9,0.020000000000000018
2016-03-25,418.0799866,415.5580139,416.5079956,417.177002,0.782989500000042,13513179,-15786704,0.7680052999999702,-1.6469726000000264,10.7432003,-0.4917993599999999,-38223621.5,-12299800,-76145.80078,40.645000000018626,2035.94,0,0,17515.73,0,0,4773.5,0,0,1221.4,0,0,1.9,0
2016-03-26,418.9869995,416.2590027,417.3649902,417.9450073,0.7680052999999702,13434648,-7909600,8.820007299999986,0.782989500000042,10.97399998,0.2307996800000005,18457093.80000007,-4356520,11544.000000000004,0,2035.94,0,0,17515.73,0,0,4773.5,0,0,1221.4,0,0,1.9,0
2016-03-27,428.7969971,417.7109985,418.1400146,426.7650146,8.820007299999986,136988147,26579000,-2.534027099999946,0.7680052999999702,10.41919994,-0.5548000399999999,-43212416,7319320,67717.80077999999,0,2035.94,0,0,17515.73,0,0,4773.5,0,0,1221.4,0,0,1.9,0
2016-03-28,426.8569946,423.2929993,426.5480042,424.2309875,-2.534027099999946,-37141268,-2706600,-7.7149963000000525,8.820007299999986,11.66559982,1.2463998800000002,98223948.89999998,6443500,1427,0,2037.05,1.1099999999999,-598630000,17535.39,19.659999999999854,-136400,4766.790039,-6.709960999999566,-209990000,1219.9,-1.5,20,1.87,-0.029999999999999805
2016-03-29,426.2030029,412.6809998,424.3039856,416.5159912,-7.7149963000000525,-116934888,6888704,-1.6999816999999666,-2.534027099999946,11.65639973,-0.009200090000000216,-355303.10000002384,-5504100,929453,0,2055.01,17.960000000000264,1013240000,17633.11,97.72000000000116,157000,4846.620117,79.83007799999996,425490000,1235.6,15.699999999999818,189699,1.81,-0.06000000000000005
2016-03-30,416.8340149,412.4960022,416.8340149,414.8160095,-1.6999816999999666,-24598685,-9377404,1.9129944000000023,-7.7149963000000525,11.95289993,0.29650019999999877,23676154.700000048,1667000,-838009,0,2063.95,8.9399999999996,-232020000,17716.66,83.54999999999927,-68300,4869.290039,22.669922000000042,-88670000,1226.9,-8.699999999999818,-141484,1.83,0.020000000000000018
2016-03-31,418.368988,415.2569885,415.2569885,416.7290039,1.9129944000000023,30706817,-5818900,1.2309875999999917,-1.6999816999999666,11.4034996,-0.5494003299999992,-42828992.899999976,-4384500,-56454,0,2059.74,-4.210000000000036,124970000,17685.09,-31.56999999999971,232700,4869.850098,0.5600589999994554,56450000,1234.2,7.2999999999999545,-44871,1.79,-0.040000000000000036
2016-04-01,418.1730042,415.8309937,416.7600098,417.9599915,1.2309875999999917,20530800,-8979500,2.91299429999998,1.9129944000000023,11.66359997,0.26010036999999997,20826032.299999952,-3593600,-97714.10156000001,0,2072.78,13.040000000000418,34710000,17792.75,107.65999999999985,22900,4914.540039,44.689941000000545,37980000,1222.2,-12,-1775,1.79,0
2016-04-02,422.0809937,418.4219971,418.4219971,420.8729858,2.91299429999998,46263492,-5554500,0.03100590000002512,1.2309875999999917,11.59889984,-0.0647001300000003,-4729402.899999976,-2690480,53625.10156,0,2072.78,0,0,17792.75,0,0,4914.540039,0,0,1222.2,0,0,1.79,0
